"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"11857573",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"12851639",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"16517145",0,0,0,0,0,0,1,0,0,0,1,5,0,0,0
"30388404",0,0,0,0,0,0,5,0,0,0,1,0,0,0,0
"24468074",0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
"24842602",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"26410222",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"27276195",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"27726050",0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
"21757185",0,0,0,0,0,0,16,1,0,0,0,0,0,0,0
"22739633",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"23620727",0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
"23715297",0,0,0,0,1,0,9,0,0,0,0,0,0,0,0
"28867142",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"27287255",0,0,0,0,0,0,2,0,0,0,0,9,0,0,0
"20670697",0,0,0,0,0,0,10,0,0,0,0,2,0,0,0
"16722615",4,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"18361425",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"21267006",3,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"25147162",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"26997013",2,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"7697714",1,0,0,0,1,3,16,0,0,0,0,1,0,0,0
"8644709",2,0,1,0,0,0,13,0,0,0,0,0,0,0,0
"21837366",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"12160723",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"16395125",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"17211639",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"19546859",0,0,0,0,0,0,9,0,0,0,0,4,0,0,0
"19567891",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"19948250",0,0,0,0,0,0,7,0,0,0,0,4,0,0,0
"20502679",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"20615956",0,0,0,0,0,3,4,0,0,0,0,6,0,0,0
"20635338",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"21471458",0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
"21680558",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"22521361",0,0,0,0,0,0,11,0,0,0,0,1,0,0,0
"22872102",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"23332918",0,0,1,0,0,0,10,0,0,0,0,0,0,0,0
"23349641",0,0,0,0,0,0,6,0,0,0,0,1,0,0,0
"23535821",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"23650183",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"24459036",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"24776741",0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
"25180570",0,0,0,0,0,1,6,1,0,0,0,2,0,0,0
"25205402",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"25519132",0,0,2,0,0,1,3,0,0,0,0,2,0,0,0
